name,favored,unfavored
amiibo,,
annaki,ink-saver-sub,special-saver
barazushi,intensify-action,sub-power-up
cuttlegear,,
emberz,intensify-action,special-charge-up
emperry,sub-power-up,ink-resistance-up
firefin,ink-saver-sub,ink-recovery-up
forge,special-power-up,ink-saver-sub
grizzco,,
inkline,sub-resistance-up,intensify-action
krak-on,swim-speed-up,sub-resistance-up
rockenberg,run-speed-up,swim-speed-up
skalop,quick-respawn,special-saver
splash-mob,ink-saver-main,run-speed-up
squidforce,ink-resistance-up,ink-saver-main
takoroka,special-charge-up,special-power-up
tentatek,ink-recovery-up,quick-super-jump
toni-kensa,ink-saver-main,sub-power-up
z-f,special-saver,ink-recovery-up
zekko,special-saver,special-charge-up
zink,quick-super-jump,quick-respawn
