name,favored,unfavored
amiibo,,
annaki,ink_saver_sub,special_saver
barazushi,intensify_action,sub_power_up
cuttlegear,,
emberz,intensify_action,special_charge_up
emperry,sub_power_up,ink_resistance_up
firefin,ink_saver_sub,ink_recovery_up
forge,special_power_up,ink_saver_sub
grizzco,,
inkline,sub_resistance_up,intensify_action
krak-on,swim_speed_up,sub_resistance_up
rockenberg,run_speed_up,swim_speed_up
skalop,quick_respawn,special_saver
splash_mob,ink_saver_main,run_speed_up
squidforce,ink_resistance_up,ink_saver_main
takoroka,special_charge_up,special_power_up
tentatek,ink_recovery_up,quick_super_jump
toni_kensa,ink_saver_main,sub_power_up
z_f,special_saver,ink_recovery_up
zekko,special_saver,special_charge_up
zink,quick_super_jump,quick_respawn
