name,main,sub,special,special-points,level,id,brand
sploosh-o-matic,sploosh-o-matic,curling-bomb,ultra-stamp,180,9,0,
neo-sploosh-o-matic,sploosh-o-matic,squid-beakon,killer-wail-5-1,170,13,1,
splattershot-jr,splattershot-jr,splat-bomb,big-bubbler,180,1,10,
custom-splattershot-jr,splattershot-jr,torpedo,wave-breaker,190,6,11,
splash-o-matic,splash-o-matic,burst-bomb,crab-tank,200,16,20,
neo splash-o-matic,splash-o-matic,suction-bomb,triple-inkstrike,200,21,21,
splash-o-matic-gck-o,splash-o-matic,toxic-mist,ink-storm,180,22,22,
aerospray-mg,aerospray,fizzy-bomb,reefslider,180,5,30,
aerospray-rg,aerospray,sprinkler,booyah-bomb,190,18,31,
colorz-aerospray,aerospray,burst-bomb,splattercolor-screen,180,19,32,
splattershot,splattershot,suction-bomb,trizooka,210,2,40,
tentatek-splattershot,splattershot,splat-bomb,triple-inkstrike,190,10,41,
glamorz-splattershot,splattershot,burst-bomb,kraken-royale,190,12,42,
hero-shot-replica,splattershot,suction-bomb,trizooka,210,1,45,
octo-shot-replica,splattershot,splat-bomb,triple-inkstrike,190,1,46,
order-shot-replica,splattershot,suction-bomb,trizooka,210,1,47,
52-gal,52-gal,splash-wall,killer-wail-5-1,200,11,50,
52-gal-deco,52-gal,curling-bomb,splattercolor-screen,190,14,51,
n-zap-85,n-zap,suction-bomb,tacticooler,200,6,60,
n-zap-89,n-zap,autobomb,super-chump,170,11,61,
splattershot-pro,splattershot-pro,angle-shooter,crab-tank,190,9,70,
forge-splattershot-pro,splattershot-pro,suction-bomb,booyah-bomb,200,20,71,
splattershot-pro-frz-n,splattershot-pro,splat-bomb,tenta-missiles,190,24,72,
96-gal,96-gal,sprinkler,ink-vac,190,17,80,
96-gal-deco,96-gal,splash-wall,kraken-royale,190,23,81,
clawz-96-gal,96-gal,angle-shooter,tacticooler,190,24,82,
jet-squelcher,jet-squelcher,angle-shooter,ink-vac,180,15,90,
custom-jet-squelcher,jet-squelcher,toxic-mist,ink-storm,180,20,91,
jet-squelcher-cob-r,jet-squelcher,burst-bomb,triple-splashdown,190,21,92,
splattershot-nova,splattershot-nova,point-sensor,killer-wail-5-1,190,8,100,
annaki-splattershot-nova,splattershot-nova,ink-mine,inkjet,210,12,101,
luna-blaster,luna-blaster,splat-bomb,zipcaster,170,13,200,
luna-blaster-neo,luna-blaster,fizzy-bomb,ultra-stamp,180,24,201,
order-blaster-replica,luna-blaster,splat-bomb,zipcaster,170,1,205,
blaster,blaster,autobomb,big-bubbler,180,3,210,
custom-blaster,blaster,point-sensor,triple-splashdown,180,8,211,
gleamz-blaster,blaster,squid-beakon,crab-tank,180,9,212,
range-blaster,range-blaster,suction-bomb,wave-breaker,210,11,220,
custom-range-blaster,range-blaster,splat-bomb,kraken-royale,210,15,210,
clash-blaster,clash-blaster,splat-bomb,trizooka,180,22,230,
clash-blaster-neo,clash-blaster,curling-bomb,super-chump,170,25,231,
rapid-blaster,rapid-blaster,ink-mine,triple-inkstrike,190,7,240,
rapid-blaster-deco,rapid-blaster,torpedo,inkjet,210,10,241,
rapid-blaster-pro,rapid-blaster-pro,toxic-mist,ink-vac,180,26,250,
rapid-blaster-pro-deco,rapid-blaster-pro,angle-shooter,killer-wail-5-1,190,29,251,
rapid-blaster-pro-wnt-r,rapid-blaster-pro,suction-bomb,tacticooler,200,30,252,
s-blast-92,s-blast,sprinkler,reefslider,180,20,260,
s-blast-91,s-blast,burst-bomb,booyah-bomb,210,27,261,
l-3-nozzlenose,l-3-nozzlenose,curling-bomb,crab-tank,190,13,300,
l-3-nozzlenose-d,l-3-nozzlenose,burst-bomb,ultra-stamp,200,19,301,
glitterz-l-3-nozzlenose,l-3-nozzlenose,splat-bomb,inkjet,200,20,302,
h-3-nozzlenose,h-3-nozzlenose,point-sensor,tacticooler,190,24,310,
h-3-nozzlenose-d,h-3-nozzlenose,splash-wall,big-bubbler,200,27,311,
h-3-nozzlenose-vip-r,h-3-nozzlenose,suction-bomb,triple-inkstrike,200,29,312,
squeezer,squeezer,splash-wall,trizooka,220,19,400,
foil-squeezer,squeezer,autobomb,splattercolor-screen,190,25,401,
carbon-roller,carbon-roller,autobomb,zipcaster,160,6,1000,
carbon-roller-deco,carbon-roller,burst-bomb,trizooka,190,22,1001,
carbon-roller-ang-l,carbon-roller,fizzy-bomb,super-chump,170,23,1002,
splat-roller,splat-roller,curling-bomb,big-bubbler,180,2,1010,
krak-on-splat-roller,splat-roller,squid-beakon,kraken-royale,170,7,1011,
order-roller-replica,splat-roller,curling-bomb,big-bubbler,180,1,1015,
dynamo-roller,dynamo-roller,sprinkler,tacticooler,190,12,1020,
gold-dynamo-roller,dynamo-roller,splat-bomb,super-chump,180,17,1021,
starz-dynamo-roller,dynamo-roller,point-sensor,killer-wail-5-1,180,18,1022,
flingza-roller,flingza-roller,ink-mine,tenta-missiles,210,20,1030,
foil-flingza-roller,flingza-roller,suction-bomb,splattercolor-screen,200,24,1031,
big-swig-roller,big-swig-roller,splash-wall,ink-vac,180,16,1040,
big-swig-roller-express,big-swig-roller,angle-shooter,ink-storm,180,18,1041,
planetz-big-swig,big-swig-roller,torpedo,triple-splashdown,180,21,1042,
inkbrush,inkbrush,splat-bomb,killer-wail-5-1,180,15,1100,
inkbrush-noveau,inkbrush,ink-mine,ultra-stamp,180,15,1101,
octobrush,octobrush,suction-bomb,zipcaster,190,4,1110,
octobrush-noveau,octobrush,squid-beakon,ink-storm,180,9,1111,
cometz-octobrush,octobrush,autobomb,kraken-royale,190,11,1112,
orderbrush-replica,octobrush,suction-bomb,zipcaster,190,1,1115,
painbrush,painbrush,curling-bomb,wave-breaker,190,14,1120,
painbrush-noveau,painbrush,point-sensor,tenta-missiles,190,16,1121,
painbrush-brn-z,painbrush,splash-wall,trizooka,190,18,1122,
classic-squiffer,squiffer,point-sensor,big-bubbler,190,8,2000,
new-squiffer,squiffer,autobomb,zipcaster,190,11,2001,
splat-charger,splat-charger,splat-bomb,ink-vac,190,2,2010,
z-f-splat-charger,splat-charger,splash-wall,triple-inkstrike,200,9,2011,
splat-charger-cam-o,splat-charger,sprinkler,crab-tank,200,10,2012,
order-charger-replica,splat-charger,splat-bomb,ink-vac,190,1,2015,
splatterscope,splatterscope,splat-bomb,ink-vac,190,1,2020,
z-f-splatterscope,splatterscope,splash-wall,triple-inkstrike,200,15,2021,
splatterscope-cam-o,splatterscope,sprinkler,crab-tank,200,17,2022,
e-liter-4k,e-liter-4k,ink-mine,wave-breaker,210,18,2030,
custom-e-liter-4k,e-liter-4k,squid-beakon,kraken-royale,210,20,2031,
e-liter-4k-scope,e-liter-4k-scope,ink-mine,wave-breaker,210,27,2040,
custom-e-liter-4k-scope,e-liter-4k-scope,squid-beakon,kraken-royale,210,28,2041,
bamboozler-14-mk-1,bamboozler-14,autobomb,killer-wail-5-1,190,23,2050,
bamboozler-14-mk-2,bamboozler-14,fizzy-bomb,super-chump,190,26,2051,
goo-tuber,goo-tuber,torpedo,tenta-missiles,200,25,2060,
custom-goo-tuber,goo-tuber,fizzy-bomb,ultra-stamp,200,28,2061,
snipewriter-5h,snipewriter,sprinkler,tacticooler,220,14,2070,
snipewriter-5b,snipewriter,splash-wall,ink-storm,210,19,2071,
slosher,slosher,splat-bomb,triple-inkstrike,210,3,3000,
slosher-deco,slosher,angle-shooter,zipcaster,180,12,3001,
order-slosher-replica,slosher,splat-bomb,triple-inkstrike,210,1,3005,
tri-slosher,tri-slosher,toxic-mist,inkjet,180,10,3010,
tri-slosher-noveau,tri-slosher,fizzy-bomb,tacticooler,200,17,3011,
tri-slosher-ash-n,tri-slosher,splat-bomb,splattercolor-screen,180,19,3012,
sloshing-machine,sloshing-machine,fizzy-bomb,booyah-bomb,210,14,3020,
sloshing-machine-neo,sloshing-machine,point-sensor,trizooka,190,21,3021,
bloblobber,bloblobber,sprinkler,ink-storm,190,19,3030,
bloblobber-deco,bloblobber,angle-shooter,kraken-royale,190,23,3031,
explosher,explosher,point-sensor,ink-storm,200,29,3040,
custom-explosher,explosher,splash-wall,triple-splashdown,190,30,3041,
dread-wringer,dread-wringer,suction-bomb,reefslider,190,15,3050,
dread-wringer-d,dread-wringer,squid-beakon,wave-breaker,190,18,3051,
hornz-dread-wringer,dread-wringer,curling-bomb,crab-tank,200,20,3052,
mini-splatling,mini-splatling,burst-bomb,ultra-stamp,200,12,4000,
zink-mini-splatling,mini-splatling,toxic-mist,big-bubbler,200,25,4001,
mini-splatling-rtl-r,mini-splatling,squid-beakon,trizooka,200,27,4002,
heavy-splatling,heavy-splatling,sprinkler,wave-breaker,200,4,4010,
heavy-splatling-deco,heavy-splatling,point-sensor,kraken-royale,200,15,4011,
order-splatling-replica,heavy-splatling,sprinkler,wave-breaker,200,1,4015,
hydra-splatling,hydra-splatling,autobomb,booyah-bomb,190,20,4020,
custom-hydra-splatling,hydra-splatling,ink-mine,splattercolor-screen,200,23,4021,
torrenz-hydra-splatling,hydra-splatling,sprinkler,big-bubbler,200,26,4022,
ballpoint-splatling,ballpoint-splatling,fizzy-bomb,inkjet,210,30,4030,
ballpoint-splatling-noveau,ballpoint-splatling,ink-mine,ink-vac,200,30,4031,
nautilus-47,nautilus,point-sensor,ink-storm,190,28,4040,
nautilus-79,nautilus,suction-bomb,triple-splashdown,200,29,4041,
